	loo	p_loo	d_loo	weight	se	dse	warning	loo_scale
pc_in+pc_out	126.77351747377345	3.6063181436330964	0.0	0.6905575599277075	10.131372641300963	0.0	0	deviance
pc_in	127.53034975946056	2.6438315104364563	0.7568322856870928	0.3094424400722584	9.7087188149713	3.044821300505139	0	deviance
pc_in+pc_out+z_in	128.64100738676618	4.412990219637365	1.8674899129927098	5.684701243698494e-15	10.159268504096008	1.0806831836927282	0	deviance
pc_in+pc_out+z_out	128.87969575043456	4.460655277348323	2.1061782766611117	6.1878676809038284e-15	10.10573396326681	0.525604154744683	0	deviance
control	128.9589848746339	1.899673696614272	2.1854674008604498	2.2835196900447988e-15	9.53817250348769	3.5425891517182855	0	deviance
pc_in+z_in	129.2781958918297	3.507635027508236	2.504678418056244	5.544079644760295e-15	9.701734744389363	2.9124885786473382	0	deviance
z_in	129.32156070719572	2.6279967832011124	2.5480432334222627	1.254998485045048e-15	9.88417226243974	3.638518189002571	0	deviance
pc_in+z_out	129.468702190751	3.4010672968990363	2.695184716977561	5.75998543790477e-15	9.582052802379748	2.746853999898258	0	deviance
z_out	130.73621103184723	2.6204730459197947	3.9626935580737843	2.6639188745359864e-15	9.433591267391058	3.4609982968430906	0	deviance
pc_in+pc_out+z_in+z_out	130.87929334892797	5.3035575417197265	4.105775875154535	4.644533970247077e-15	10.13178585020624	1.4426538082606757	0	deviance
pc_out	131.04768840622535	3.0342512495195706	4.274170932451916	2.0490934159666675e-15	9.801895342290583	3.5155843647906706	0	deviance
pc_in+z_in+z_out	131.41149978470472	4.3403405545698135	4.637982310931246	5.8734834022200466e-15	9.611484162857991	2.7576552528746388	0	deviance
z_in+z_out	131.42433989451266	3.4978467402610534	4.650822420739196	3.085245339752816e-15	9.816646036228297	3.714100306495413	0	deviance
pc_out+z_in	131.5161822874872	3.848162275502304	4.742664813713748	1.9100303648194553e-15	10.327462524547975	3.7415340385642915	0	deviance
pc_out+z_out	132.96229102055054	3.7634231953239023	6.1887735467770995	4.070696257641587e-15	9.634666080421772	3.5222839204825727	0	deviance
pc_out+z_in+z_out	133.4037971210749	4.595714458060954	6.6302796473014105	0.0	10.224406796341697	3.8695068510493846	0	deviance
