	Unnamed: 0.1	Unnamed: 0.1.1	subject	run	overlapping_parcel_index	parcel_included_in_sub_mask	stimsite_issingleton	PC
3	3	3	294	1	519.0	True	0.0	0.7075086481412078
4	4	4	316	7	374.0	True	0.0	0.7391770616875218
6	6	6	335	8	370.0	True	0.0	0.5372828307026027
8	8	8	335	1	236.0	True	0.0	0.40414103136512525
9	9	9	400	3	509.0	True	0.0	0.5664503501639431
10	10	10	330	5	225.0	True	0.0	0.6087743101591361
11	11	11	330	3	519.0	True	0.0	0.4133481977126512
12	12	12	320	4	234.0	True	0.0	0.8246454347222208
16	16	16	320	1	378.0	True	0.0	0.7821025338579605
19	19	19	302	1	38.0	True	0.0	0.7935367343801272
20	20	20	335	2	233.0	True	0.0	0.6708589583331646
21	21	21	376	1	234.0	True	0.0	0.7291805976723174
22	22	22	330	2	366.0	True	0.0	0.6276829230972458
23	23	23	399	8	519.0	True	0.0	0.7181985906895412
24	24	24	400	1	38.0	True	0.0	0.6020237834506901
25	25	25	320	6	121.0	True	0.0	0.19348048269196194
28	28	28	303	4	372.0	True	0.0	0.5614617613265075
30	30	30	314	2	38.0	True	0.0	0.5623922475450124
34	34	34	307	7	125.0	True	0.0	0.7093651141785099
35	35	35	399	1	381.0	True	0.0	0.5402516884953228
37	37	37	399	3	519.0	True	0.0	0.7181985906895412
39	39	39	292	1	198.0	True	0.0	0.33399064400482836
40	40	40	335	3	509.0	True	0.0	0.5957910269631272
41	41	41	413	2	381.0	True	0.0	0.6521508885142351
42	42	42	316	6	202.0	True	0.0	0.4456516559327055
44	44	44	316	3	519.0	True	0.0	0.6775129927323482
47	47	47	405	4	606.0	True	0.0	0.6705843518090997
48	48	48	314	5	108.0	True	0.0	0.345524802609274
50	50	50	335	6	506.0	True	0.0	0.5992233160694445
51	51	51	292	4	34.0	True	0.0	0.6012803958164562
52	52	52	335	5	143.0	True	0.0	0.5067726650193801
54	54	54	400	5	2.0	True	0.0	0.31612736508497186
55	55	55	316	4	519.0	True	0.0	0.6775129927323482
58	58	58	314	4	509.0	True	0.0	0.48555960964909517
60	60	60	405	3	519.0	True	0.0	0.5526958256071293
61	61	61	405	6	202.0	True	0.0	0.7362752517738064
63	63	63	399	6	234.0	True	0.0	0.5820060399483062
65	65	65	376	2	519.0	True	0.0	0.7517288708809521
66	66	66	292	5	32.0	True	0.0	0.6985424397668221
67	67	67	335	10	117.0	True	0.0	0.3750825613243669
69	69	69	307	2	155.0	True	0.0	0.7032375392185248
