	sub	task	parcels_deleted
0	sub-369	task-es	57
1	sub-314	task-rest	26
2	sub-399	task-es	54
3	sub-376	task-es	75
4	sub-294	task-es	73
5	sub-335	task-rest	22
6	sub-413	task-rest	2
7	sub-339	task-es	45
8	sub-399	task-rest	35
9	sub-335	task-es	64
10	sub-292	task-es	81
11	sub-320	task-es	39
12	sub-400	task-es	74
13	sub-316	task-rest	23
14	sub-307	task-es	40
15	sub-394	task-es	19
16	sub-405	task-rest	34
17	sub-303	task-es	70
18	sub-330	task-es	31
19	sub-405	task-es	48
20	sub-413	task-es	59
21	sub-320	task-rest	25
22	sub-357	task-es	44
23	sub-307	task-rest	24
24	sub-303	task-rest	28
25	sub-292	task-rest	20
26	sub-376	task-rest	32
27	sub-330	task-rest	18
28	sub-316	task-es	36
29	sub-302	task-rest	12
30	sub-372	task-es	60
31	sub-302	task-es	36
32	sub-400	task-rest	11
33	sub-314	task-es	54
