	0
0	sub-294_ses-postop_task-es_run-02
1	sub-294_ses-preop_task-rest_run-01
2	sub-302_ses-postop_task-es_run-02
3	sub-303_ses-postop_task-es_run-05
4	sub-303_ses-postop_task-es_run-06
5	sub-314_ses-postop_task-es_run-01
6	sub-320_ses-postop_task-es_run-02
7	sub-320_ses-preop_task-rest_run-04
8	sub-320_ses-preop_task-rest_run-05
9	sub-330_ses-postop_task-es_run-01
10	sub-331_ses-postop_task-es_run-01
11	sub-331_ses-postop_task-es_run-02
12	sub-331_ses-postop_task-es_run-03
13	sub-335_ses-preop_task-rest_run-03
14	sub-352_ses-postop_task-es_run-01
15	sub-352_ses-postop_task-es_run-02
16	sub-352_ses-postop_task-es_run-04
17	sub-352_ses-postop_task-es_run-05
18	sub-352_ses-postop_task-es_run-06
19	sub-352_ses-postop_task-es_run-07
20	sub-352_ses-postop_task-es_run-08
21	sub-352_ses-postop_task-es_run-09
22	sub-352_ses-postop_task-es_run-10
23	sub-357_ses-postop_task-es_run-07
24	sub-357_ses-postop_task-es_run-08
25	sub-357_ses-postop_task-es_run-11
26	sub-372_ses-postop_task-es_run-02
27	sub-372_ses-postop_task-es_run-03
28	sub-372_ses-postop_task-es_run-04
29	sub-372_ses-postop_task-es_run-05
30	sub-372_ses-postop_task-es_run-06
31	sub-376_ses-postop_task-es_run-05
32	sub-384_ses-postop_task-es_run-01
33	sub-384_ses-postop_task-es_run-02
34	sub-384_ses-postop_task-es_run-03
35	sub-384_ses-postop_task-es_run-04
36	sub-384_ses-preop_task-rest_run-01
37	sub-384_ses-preop_task-rest_run-02
38	sub-384_ses-preop_task-rest_run-03
39	sub-399_ses-postop_task-es_run-04
40	sub-399_ses-postop_task-es_run-07
41	sub-400_ses-postop_task-es_run-06
42	sub-403_ses-postop_task-es_run-01
43	sub-403_ses-postop_task-es_run-02
44	sub-403_ses-postop_task-es_run-03
45	sub-403_ses-postop_task-es_run-04
46	sub-403_ses-postop_task-es_run-06
